CENTROID: HC Boost 3
Assembly Part Number: HC Boost 3 Assembly
Customer/Company Name: NASA/GSFC-Code 665, BETTII

Report Origin = (0.0000, 0.0000)
Units = Inches
Comma delimited

Designator,Footprint,LocationX,LocationY,Layer,Rotation
C1,C0805,1.4750,0.3500,Top,270
C2,C0805,1.4750,0.1750,Top,270
C3,C0805,2.0750,0.1375,Top,270
C4,C0805,2.0750,0.3000,Top,270
C5,C0805,2.0750,0.5750,Top,270
C6,C0805,2.0750,0.7375,Top,270
C7,C0805,1.3750,0.6125,Top,270
C8,C0805,1.3750,0.7875,Top,270
C9,C0805,1.8375,0.4625,Bottom,90
C10,C0805,1.6250,0.1750,Bottom,270
C11,C0805,1.8375,0.8625,Bottom,90
C12,C0805,1.6250,0.6125,Bottom,270
D1,,0.8750,0.5000,Top,270
D2,,0.6500,0.5000,Top,270
J1,,0.9750,1.2000,Top,180
J2,,1.7250,1.2000,Top,180
J3,,2.3750,1.2750,Top,180
R3,R0805,1.9750,0.1375,Top,90
R4,R0805,1.9750,0.3000,Top,90
R5,R0805,1.9750,0.5750,Top,90
R6,R0805,1.9750,0.7375,Top,270
R7,R0805,1.4750,0.6125,Top,270
R8,R0805,1.4750,0.7875,Top,90
R9,R0805,1.7250,0.1500,Top,180
R10,R0805,1.1625,0.4000,Top,180
R11,R0805,1.2500,0.3000,Top,0
R12,R0805,2.1750,0.1375,Top,90
R13,R0805,2.1750,0.3000,Top,270
R14,R0805,1.5625,0.9375,Top,90
R15,R0805,1.8875,0.9375,Top,90
R16,R0805,2.1750,0.7375,Top,90
R17,R0805,1.2750,0.6125,Top,90
R18,R0805,1.2750,0.7875,Top,270
R19,R0805,1.7250,0.5875,Top,0
R20,R0805,2.2750,0.2188,Top,90
R22,R2010,1.3875,1.2000,Top,90
U1,8SOIC,1.7250,0.3000,Top,270
U2,8SOIC,1.7250,0.7375,Top,270
